"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE0ECP01024","543929","HMAAGRO","HMA AGRO INDUSTRIES LIMITED","45.16","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE568Z01015","543930","URAVI","URAVI T AND WEDGE LAMPS LIMITE","0.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0Q0M01015","543931","VEEFIN","VEEFIN SOLUTIONS LIMITED","585.95","",,"0.05","400","EQUITY",,"BSE_EQ"
"BSE_EQ|INE349Y01013","543932","IDEAFORGE","IDEAFORGE TECHNOLOGY LIMITED","575.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE055S01018","543933","CYIENTDLM","CYIENT DLM LIMITED","660.7","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE01BT01015","543934","MACIND","MACHHAR INDUSTRIES LIMITED","0.0","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INF740KA1SX1","543935","ITETFADD","DSP MUTUAL FUND","41.27","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE602W01019","543936","SENCO","SENCO GOLD LIMITED","1230.7","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE552N01023","511169","RKDAGRRTL","RKD AGRI AND RETAIL LIMITED","7.52","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0POP01017","543938","ACCELERATE","ACCELERATEBS INDIA LIMITED","203.9","",,"0.05","640","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0P3N01018","543939","KAKA","KAKA INDUSTRIES LIMITED","292.2","",,"0.05","1000","EQUITY",,"BSE_EQ"
