,ISIN_code,company_name,industry,timestamp,open,high,low,close,volume,average_price,daily_return,price_change,price_range,delta_close,sma_3,rsi
12,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-21,3005.15,3014.95,2916.95,2937.65,1051690.0,2968.67,-2.25,-67.5,77.3,-64.35,2984.47,32.58
13,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-22,2938.0,2955.0,2818.0,2823.8,1209732.0,2883.7,-3.89,-114.2,131.2,-113.85,2921.15,26.65
14,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-23,2840.85,2879.0,2820.1,2835.55,1270530.0,2843.88,-0.19,-5.3,43.45,11.75,2865.67,28.0
15,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-24,2841.05,2875.15,2807.9,2830.2,942066.0,2838.58,-0.38,-10.85,44.95,-5.35,2829.85,28.0
16,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-25,2845.0,2847.0,2654.7,2693.45,1954174.0,2760.04,-5.33,-151.55,153.55,-136.75,2786.4,26.19
17,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-28,2701.1,2822.4,2672.1,2798.65,1385033.0,2748.56,3.61,97.55,23.75,105.2,2774.1,21.89
18,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-29,2803.0,2863.05,2732.85,2848.6,1529844.0,2811.88,1.63,45.6,14.45,49.95,2780.23,27.79
19,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-30,2864.0,2997.15,2815.05,2969.3,2884272.0,2911.38,3.68,105.3,27.85,120.7,2872.18,36.99
20,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-10-31,2967.9,2976.5,2933.85,2947.25,1156390.0,2956.38,-0.7,-20.65,29.25,-22.05,2921.72,37.7
21,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,2024-11-01,2960.0,2975.6,2928.4,2949.5,304673.0,2953.38,-0.35,-10.5,26.1,2.25,2955.35,39.74
22,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-03,1452.75,1469.0,1414.2,1425.2,3967953.0,1440.29,-1.9,-27.55,43.8,,1425.2,
23,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-04,1424.8,1446.4,1404.2,1413.7,2611371.0,1422.27,-0.78,-11.1,32.7,-11.5,1419.45,0.0
24,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-07,1410.0,1423.9,1337.0,1355.2,4531821.0,1381.52,-3.89,-54.8,68.7,-58.5,1398.03,0.0
25,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-08,1342.0,1424.35,1342.0,1418.55,3031170.0,1381.73,5.7,76.55,5.8,63.35,1395.82,47.51
26,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-09,1424.75,1432.95,1404.35,1408.15,1507508.0,1417.55,-1.17,-16.6,24.8,-10.4,1393.97,44.07
27,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-10,1417.0,1430.05,1406.85,1417.2,1628495.0,1417.77,0.01,0.2,12.85,9.05,1414.63,47.38
28,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-11,1415.2,1426.85,1405.2,1408.25,1158809.0,1413.88,-0.49,-6.95,18.6,-8.95,1411.2,44.76
29,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-14,1418.0,1426.0,1407.15,1410.3,762384.0,1415.36,-0.54,-7.7,15.7,2.05,1411.92,45.45
30,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-15,1415.95,1424.7,1407.0,1420.3,1018477.0,1416.99,0.31,4.35,4.4,10.0,1412.95,48.59
31,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-16,1418.0,1418.4,1392.0,1403.8,1450465.0,1408.05,-1.0,-14.2,14.6,-16.5,1411.47,44.38
32,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-17,1403.8,1408.0,1387.55,1394.7,1418861.0,1398.51,-0.65,-9.1,13.3,-9.1,1406.27,42.35
33,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-18,1389.0,1410.55,1376.0,1405.6,1290065.0,1395.29,1.2,16.6,4.95,10.9,1401.37,45.34
34,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-21,1409.9,1412.9,1371.3,1375.5,1644382.0,1392.4,-2.44,-34.4,37.4,-30.1,1391.93,39.66
35,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,2024-10-22,1374.7,1387.1,1353.9,1362.85,2467299.0,1369.64,-0.86,-11.85,24.25,-12.65,1381.32,37.68
