,ISIN_code,instrument_key,company_name,industry,symbol,timestamp,open,high,low,close,volume,open_interest,average_price,daily_return,price_change,price_range,last_close,delta_close,sma_3
57,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-22,7019.95,7037.25,6871.55,6891.95,112233.0,0.0,6955.18,-1.82,-128.0,145.3,6986.4,-94.45,6953.75
58,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-23,6885.0,6958.95,6854.75,6906.75,109466.0,0.0,6901.36,0.32,21.75,52.2,6891.95,14.8,6928.37
59,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-24,6937.25,6978.0,6870.65,6954.15,147408.0,0.0,6935.01,0.24,16.9,23.85,6906.75,47.4,6917.62
60,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-25,6954.15,6981.0,6876.05,6944.85,175261.0,0.0,6939.01,-0.13,-9.3,36.15,6954.15,-9.3,6935.25
61,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-28,6923.0,6970.0,6794.25,6926.3,238427.0,0.0,6903.39,0.05,3.3,43.7,6944.85,-18.55,6941.77
62,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-29,6957.9,6997.7,6855.8,6987.45,196146.0,0.0,6949.71,0.42,29.55,10.25,6926.3,61.15,6952.87
63,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-30,6980.6,7035.0,6939.8,6982.5,191699.0,0.0,6984.48,0.03,1.9,52.5,6987.45,-4.95,6965.42
64,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-10-31,6999.9,7050.0,6956.05,7022.7,224153.0,0.0,7007.16,0.33,22.8,27.3,6982.5,40.2,6997.55
65,INE437A01024,NSE_EQ|INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,2024-11-01,7022.7,7046.0,7000.75,7031.95,18769.0,0.0,7025.35,0.13,9.25,14.05,7022.7,9.25,7012.38
66,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-03,3192.3,3225.9,3126.5,3149.3,1741363.0,0.0,3173.5,-1.35,-43.0,76.6,,,3149.3
67,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-04,3135.0,3156.75,3054.55,3072.5,1551818.0,0.0,3104.7,-1.99,-62.5,84.25,3149.3,-76.8,3110.9
68,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-07,3075.0,3098.55,3038.0,3062.25,909812.0,0.0,3068.45,-0.41,-12.75,36.3,3072.5,-10.25,3094.68
69,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-08,3058.0,3099.0,3045.65,3088.05,817718.0,0.0,3072.68,0.98,30.05,10.95,3062.25,25.8,3074.27
70,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-09,3095.55,3146.7,3071.75,3078.85,1225598.0,0.0,3098.21,-0.54,-16.7,67.85,3088.05,-9.2,3076.38
71,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-10,3090.05,3095.0,3043.0,3059.1,1161933.0,0.0,3071.79,-1.0,-30.95,35.9,3078.85,-19.75,3075.33
72,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-11,3059.2,3064.0,3026.0,3037.2,976017.0,0.0,3046.6,-0.72,-22.0,26.8,3059.1,-21.9,3058.38
73,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-14,3037.0,3055.0,3017.2,3039.15,716011.0,0.0,3037.09,0.07,2.15,15.85,3037.2,1.95,3045.15
74,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-15,3075.0,3096.8,3047.65,3067.1,1242322.0,0.0,3071.64,-0.26,-7.9,29.7,3039.15,27.95,3047.82
75,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-16,3088.0,3103.55,3066.1,3082.1,764001.0,0.0,3084.94,-0.19,-5.9,21.45,3067.1,15.0,3062.78
76,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-17,3082.9,3085.0,3037.0,3055.85,674481.0,0.0,3065.19,-0.88,-27.05,29.15,3082.1,-26.25,3068.35
77,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-18,3057.0,3069.0,2980.6,2992.15,899318.0,0.0,3024.69,-2.12,-64.85,76.85,3055.85,-63.7,3043.37
78,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-21,3007.05,3057.0,3000.55,3049.2,806970.0,0.0,3028.45,1.4,42.15,7.8,2992.15,57.05,3032.4
79,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-22,3054.0,3057.95,2995.25,3006.85,541838.0,0.0,3028.51,-1.54,-47.15,51.1,3049.2,-42.35,3016.07
80,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-23,2999.95,3026.5,2972.05,2989.7,624689.0,0.0,2997.05,-0.34,-10.25,36.8,3006.85,-17.15,3015.25
81,INE021A01026,NSE_EQ|INE021A01026,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,2024-10-24,2989.7,3002.3,2951.0,2972.0,571259.0,0.0,2978.75,-0.59,-17.7,30.3,2989.7,-17.7,2989.52
